               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.037205,            0.032869,            0.013169,             0.67106,              0.6351,             0.65993,             0.38392,            0.037755,            0.020577,            0.010682,           0.0008615,           0.0008615,           0.0008615
                 117,            0.037104,            0.032958,            0.013036,             0.67161,             0.63489,             0.66052,             0.38459,            0.037736,            0.020564,            0.010664,           0.0008516,           0.0008516,           0.0008516
                 118,            0.036843,            0.032604,            0.013204,             0.67235,             0.63543,             0.66115,             0.38496,            0.037718,            0.020558,            0.010643,           0.0008417,           0.0008417,           0.0008417
                 119,            0.036885,            0.032829,            0.013049,             0.67499,             0.63509,             0.66183,             0.38574,            0.037698,            0.020548,            0.010626,           0.0008318,           0.0008318,           0.0008318
                 120,            0.036785,             0.03272,            0.013074,             0.67535,              0.6365,             0.66267,             0.38629,             0.03768,            0.020536,            0.010609,           0.0008219,           0.0008219,           0.0008219
                 121,            0.036756,            0.032755,            0.013144,             0.67672,             0.63724,             0.66345,             0.38685,            0.037662,            0.020531,            0.010592,            0.000812,            0.000812,            0.000812
                 122,            0.036749,            0.032311,            0.012824,             0.67737,             0.63701,             0.66404,             0.38777,            0.037643,            0.020523,            0.010577,           0.0008021,           0.0008021,           0.0008021
                 123,            0.036674,            0.032379,            0.013065,             0.67929,             0.63556,             0.66471,             0.38845,            0.037623,            0.020516,            0.010562,           0.0007922,           0.0007922,           0.0007922
                 124,            0.036659,            0.032509,            0.012812,             0.68007,             0.63753,              0.6654,             0.38921,            0.037603,            0.020507,            0.010544,           0.0007823,           0.0007823,           0.0007823
                 125,            0.036501,            0.032683,            0.012691,             0.68124,             0.63589,             0.66599,             0.38985,            0.037587,            0.020498,            0.010526,           0.0007724,           0.0007724,           0.0007724
                 126,             0.03628,            0.032496,            0.012415,             0.67956,             0.63858,             0.66649,             0.39051,             0.03757,            0.020489,            0.010508,           0.0007625,           0.0007625,           0.0007625
                 127,            0.036644,            0.032253,            0.012595,             0.68105,             0.63678,             0.66698,             0.39082,            0.037552,            0.020482,             0.01049,           0.0007526,           0.0007526,           0.0007526
                 128,            0.036356,             0.03224,            0.012413,             0.68203,             0.63609,             0.66753,             0.39131,            0.037537,            0.020476,             0.01047,           0.0007427,           0.0007427,           0.0007427
                 129,            0.036205,            0.031989,            0.012318,             0.68235,             0.63592,             0.66829,             0.39199,             0.03752,            0.020471,            0.010455,           0.0007328,           0.0007328,           0.0007328
                 130,             0.03608,            0.032304,            0.012237,             0.68135,             0.63726,             0.66944,             0.39253,            0.037505,            0.020465,            0.010439,           0.0007229,           0.0007229,           0.0007229
                 131,            0.036238,            0.032386,             0.01241,             0.68119,             0.63731,             0.67006,             0.39338,            0.037487,            0.020459,            0.010422,            0.000713,            0.000713,            0.000713
                 132,            0.036005,            0.032206,            0.012215,             0.68141,             0.64021,             0.67077,             0.39397,            0.037472,            0.020454,            0.010412,           0.0007031,           0.0007031,           0.0007031
                 133,            0.036125,            0.031993,            0.012147,              0.6815,             0.64051,             0.67155,              0.3943,            0.037459,            0.020448,            0.010401,           0.0006932,           0.0006932,           0.0006932
                 134,            0.036057,            0.032013,            0.012102,             0.68373,             0.63975,             0.67233,             0.39526,            0.037445,             0.02044,            0.010392,           0.0006833,           0.0006833,           0.0006833
                 135,            0.035903,            0.032323,            0.011881,             0.68389,             0.64164,             0.67309,              0.3959,             0.03743,            0.020432,            0.010382,           0.0006734,           0.0006734,           0.0006734
                 136,            0.036012,            0.031997,            0.012345,             0.68342,               0.645,             0.67342,             0.39648,            0.037416,            0.020426,             0.01037,           0.0006635,           0.0006635,           0.0006635
                 137,            0.035834,            0.032012,            0.011908,              0.6831,             0.64516,             0.67427,             0.39723,            0.037402,            0.020417,            0.010356,           0.0006536,           0.0006536,           0.0006536
                 138,            0.035634,             0.03168,             0.01185,             0.68368,             0.64555,              0.6752,             0.39783,             0.03739,             0.02041,            0.010345,           0.0006437,           0.0006437,           0.0006437
                 139,             0.03592,             0.03203,            0.011859,             0.68427,             0.64369,             0.67587,             0.39802,             0.03738,            0.020401,            0.010335,           0.0006338,           0.0006338,           0.0006338
                 140,             0.03579,             0.03159,            0.012054,             0.68531,             0.64397,             0.67638,             0.39894,            0.037369,            0.020393,            0.010323,           0.0006239,           0.0006239,           0.0006239
                 141,            0.035498,            0.031637,             0.01192,             0.68676,             0.64371,             0.67705,             0.39957,            0.037357,            0.020387,            0.010314,            0.000614,            0.000614,            0.000614
                 142,            0.035714,             0.03179,            0.011745,             0.68729,             0.64398,             0.67728,             0.40023,            0.037348,            0.020381,            0.010305,           0.0006041,           0.0006041,           0.0006041
                 143,            0.035581,            0.031831,            0.011726,             0.68806,             0.64228,             0.67794,             0.40079,            0.037339,            0.020375,            0.010298,           0.0005942,           0.0005942,           0.0005942
                 144,            0.035568,            0.031391,            0.011558,              0.6889,             0.64258,             0.67847,             0.40129,             0.03733,            0.020366,            0.010291,           0.0005843,           0.0005843,           0.0005843
                 145,             0.03529,            0.031854,            0.011525,             0.68836,             0.64426,             0.67873,             0.40146,            0.037322,             0.02036,            0.010286,           0.0005744,           0.0005744,           0.0005744
                 146,            0.035436,            0.031735,            0.011588,             0.68869,             0.64492,             0.67949,             0.40231,            0.037313,            0.020355,            0.010277,           0.0005645,           0.0005645,           0.0005645
                 147,            0.035395,            0.031611,            0.011454,             0.68919,             0.64397,             0.67958,             0.40257,            0.037304,            0.020349,            0.010268,           0.0005546,           0.0005546,           0.0005546
                 148,            0.035297,             0.03146,            0.011592,             0.69202,             0.64231,             0.67995,             0.40314,            0.037296,            0.020343,            0.010263,           0.0005447,           0.0005447,           0.0005447
                 149,            0.034967,            0.031514,            0.011283,             0.69042,             0.64508,             0.68056,             0.40376,            0.037284,            0.020336,            0.010257,           0.0005348,           0.0005348,           0.0005348
                 150,            0.035089,            0.031334,            0.011443,             0.69392,             0.64295,             0.68085,             0.40421,            0.037276,             0.02033,            0.010249,           0.0005249,           0.0005249,           0.0005249
                 151,            0.035257,            0.031561,            0.011193,             0.69498,             0.64399,             0.68139,              0.4047,            0.037269,            0.020326,            0.010238,            0.000515,            0.000515,            0.000515
                 152,            0.034923,            0.031147,            0.011335,             0.69504,             0.64545,             0.68182,             0.40521,            0.037259,             0.02032,            0.010228,           0.0005051,           0.0005051,           0.0005051
                 153,            0.035013,            0.031564,            0.011273,             0.69703,             0.64504,             0.68236,             0.40547,            0.037252,            0.020314,            0.010222,           0.0004952,           0.0004952,           0.0004952
                 154,            0.034814,            0.031358,            0.010874,             0.69734,             0.64414,             0.68278,             0.40549,            0.037244,            0.020309,            0.010214,           0.0004853,           0.0004853,           0.0004853
                 155,            0.034792,             0.03122,            0.011185,             0.69933,              0.6448,             0.68324,               0.406,            0.037238,            0.020304,             0.01021,           0.0004754,           0.0004754,           0.0004754
                 156,            0.034709,            0.031057,            0.011185,             0.70031,             0.64585,             0.68359,             0.40656,            0.037231,            0.020298,            0.010203,           0.0004655,           0.0004655,           0.0004655
