               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.038659,            0.030254,            0.012923,             0.75142,              0.6572,             0.72527,             0.44761,            0.037604,            0.018805,            0.010818,            0.003835,            0.003835,            0.003835
                 139,            0.038553,            0.030137,            0.012825,             0.75411,             0.65814,             0.72689,             0.44862,            0.037579,            0.018792,            0.010802,             0.00379,             0.00379,             0.00379
                 140,            0.038378,            0.030287,             0.01265,              0.7534,             0.65822,             0.72755,             0.44972,            0.037557,            0.018783,            0.010798,            0.003745,            0.003745,            0.003745
                 141,            0.038212,            0.030084,            0.012754,             0.75376,             0.65863,             0.72785,             0.45082,            0.037536,            0.018776,            0.010796,              0.0037,              0.0037,              0.0037
                 142,            0.038318,            0.030242,            0.012792,             0.75422,             0.66181,             0.72807,             0.45122,            0.037521,            0.018765,            0.010789,            0.003655,            0.003655,            0.003655
                 143,             0.03835,            0.030199,            0.012538,             0.75427,             0.66293,             0.72944,             0.45215,            0.037503,            0.018754,            0.010789,             0.00361,             0.00361,             0.00361
                 144,            0.038066,             0.02998,            0.012425,             0.75553,              0.6635,             0.73049,             0.45278,            0.037488,            0.018745,            0.010783,            0.003565,            0.003565,            0.003565
                 145,            0.038235,            0.029887,            0.012293,             0.75654,             0.66273,             0.73153,             0.45354,             0.03747,            0.018737,            0.010776,             0.00352,             0.00352,             0.00352
                 146,            0.038027,            0.029812,            0.012456,             0.75811,             0.66143,             0.73105,             0.45392,            0.037453,            0.018729,            0.010771,            0.003475,            0.003475,            0.003475
                 147,            0.038088,             0.02992,            0.012235,             0.75776,              0.6652,             0.73259,             0.45392,            0.037435,            0.018719,            0.010781,             0.00343,             0.00343,             0.00343
                 148,            0.037718,             0.02997,            0.012093,             0.75777,             0.66407,             0.73287,             0.45513,            0.037418,            0.018709,            0.010793,            0.003385,            0.003385,            0.003385
                 149,            0.037644,            0.029834,            0.012166,             0.75946,             0.66393,             0.73332,             0.45529,            0.037403,              0.0187,            0.010793,             0.00334,             0.00334,             0.00334
                 150,            0.037884,            0.029988,            0.012082,             0.76059,             0.66259,             0.73351,             0.45558,            0.037387,             0.01869,            0.010793,            0.003295,            0.003295,            0.003295
                 151,            0.037732,            0.029866,             0.01209,             0.76151,              0.6617,             0.73455,             0.45646,            0.037368,            0.018683,            0.010778,             0.00325,             0.00325,             0.00325
                 152,            0.037667,            0.029736,            0.011715,             0.76188,             0.66266,              0.7351,             0.45713,             0.03735,            0.018675,            0.010761,            0.003205,            0.003205,            0.003205
                 153,            0.037426,            0.029546,            0.011919,              0.7615,             0.66332,             0.73566,             0.45757,            0.037337,            0.018666,            0.010763,             0.00316,             0.00316,             0.00316
                 154,            0.037471,            0.029554,            0.011846,             0.76225,             0.66485,              0.7361,             0.45841,             0.03732,            0.018656,            0.010763,            0.003115,            0.003115,            0.003115
                 155,             0.03758,            0.029727,              0.0119,             0.76454,             0.66397,             0.73615,             0.45951,            0.037302,            0.018647,             0.01076,             0.00307,             0.00307,             0.00307
                 156,            0.037174,            0.029481,            0.011684,             0.76389,             0.66446,             0.73676,             0.45998,            0.037286,             0.01864,            0.010762,            0.003025,            0.003025,            0.003025
                 157,            0.037116,             0.02936,            0.011773,             0.76389,             0.66329,             0.73645,             0.46077,            0.037269,            0.018631,            0.010767,             0.00298,             0.00298,             0.00298
                 158,            0.037325,            0.029484,            0.011615,             0.76347,             0.66476,             0.73705,             0.46102,             0.03725,            0.018624,            0.010764,            0.002935,            0.002935,            0.002935
                 159,             0.03713,            0.029279,            0.011475,             0.75961,             0.66742,             0.73756,             0.46154,            0.037235,            0.018616,            0.010758,             0.00289,             0.00289,             0.00289
                 160,            0.036937,            0.029262,            0.011402,             0.76059,             0.66868,             0.73792,             0.46238,            0.037218,            0.018608,            0.010756,            0.002845,            0.002845,            0.002845
                 161,            0.036766,            0.029115,            0.011476,              0.7618,             0.67058,             0.73882,             0.46289,            0.037197,            0.018601,            0.010751,              0.0028,              0.0028,              0.0028
                 162,            0.037061,            0.029455,            0.011329,             0.76501,             0.67065,             0.74007,             0.46341,            0.037181,            0.018592,            0.010756,            0.002755,            0.002755,            0.002755
