                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1173,                 1.5007,                 1.5733,                0.69515,                0.58126,                0.65804,                0.44392,                 1.1906,                 1.3212,                 1.6269,             0.00063865,             0.00063865,             0.00063865
                     75,                  1.113,                 1.4953,                 1.5691,                0.69624,                0.58081,                0.65896,                 0.4449,                 1.1895,                 1.3187,                 1.6256,              0.0006337,              0.0006337,              0.0006337
                     76,                 1.1145,                 1.4951,                 1.5714,                0.69864,                0.58103,                0.66003,                0.44597,                 1.1885,                 1.3161,                 1.6245,             0.00062875,             0.00062875,             0.00062875
                     77,                 1.1083,                  1.484,                 1.5666,                0.69454,                 0.5826,                0.66052,                0.44684,                 1.1872,                 1.3138,                 1.6232,              0.0006238,              0.0006238,              0.0006238
                     78,                   1.11,                 1.4802,                 1.5666,                0.69276,                0.58306,                0.66239,                0.44819,                  1.186,                 1.3113,                 1.6217,             0.00061885,             0.00061885,             0.00061885
                     79,                 1.1066,                 1.4697,                 1.5642,                0.69474,                0.58388,                0.66319,                0.44858,                 1.1848,                 1.3089,                 1.6204,              0.0006139,              0.0006139,              0.0006139
                     80,                 1.1011,                  1.461,                 1.5598,                0.69445,                0.58573,                0.66418,                0.44942,                 1.1837,                 1.3064,                 1.6192,             0.00060895,             0.00060895,             0.00060895
                     81,                 1.0949,                 1.4505,                 1.5543,                0.69339,                0.58647,                0.66499,                0.45061,                 1.1826,                 1.3036,                 1.6179,               0.000604,               0.000604,               0.000604
                     82,                 1.0946,                 1.4507,                 1.5533,                0.68815,                0.59099,                0.66637,                0.45161,                 1.1818,                 1.3013,                 1.6167,             0.00059905,             0.00059905,             0.00059905
                     83,                 1.0936,                  1.439,                 1.5524,                0.68544,                0.59373,                 0.6662,                0.45283,                 1.1802,                  1.299,                 1.6151,              0.0005941,              0.0005941,              0.0005941
                     84,                 1.0926,                   1.45,                 1.5489,                0.69018,                0.59288,                0.66699,                0.45358,                 1.1788,                 1.2965,                 1.6136,             0.00058915,             0.00058915,             0.00058915
                     85,                 1.0894,                 1.4422,                 1.5509,                0.68307,                0.59941,                0.66775,                0.45415,                 1.1773,                 1.2943,                 1.6122,              0.0005842,              0.0005842,              0.0005842
                     86,                 1.0905,                 1.4278,                 1.5468,                0.68436,                0.59935,                0.66881,                0.45507,                 1.1762,                 1.2916,                 1.6107,             0.00057925,             0.00057925,             0.00057925
                     87,                  1.089,                 1.4304,                 1.5457,                0.68129,                0.60426,                0.66991,                0.45603,                 1.1746,                 1.2888,                 1.6091,              0.0005743,              0.0005743,              0.0005743
